L5E5,L5S5,L5R5,E5R5,E5S5,S5R5,S5S5,E5E5,R5R5
0.075954357,0.137076939,0.123344217,0.021051762,0.013491148,0.021482678,0.02061954,0.018434318,0.038726363
0.080594082,0.138657259,0.101429548,0.027954512,0.014764264,0.02343484,0.020969302,0.022616352,0.066154155
0.076729187,0.137168685,0.126388965,0.026301216,0.012248545,0.023336042,0.01982958,0.016057379,0.046818917
0.077356002,0.124705071,0.162910198,0.028901847,0.014463773,0.029199963,0.019799436,0.022398186,0.064514803
0.08430964,0.125935052,0.175750265,0.03441706,0.014978163,0.032522685,0.020073922,0.019649688,0.062142401
0.080617309,0.129386942,0.127930346,0.039389507,0.015965518,0.030035706,0.021026223,0.025575364,0.073287473
0.091899308,0.124903005,0.100519128,0.023589833,0.014206259,0.021577676,0.018661564,0.017697459,0.070350191
0.083938836,0.130789594,0.113870371,0.02911568,0.014660109,0.024464158,0.019938024,0.020112502,0.061518774
0.075912852,0.131334723,0.107203499,0.022503133,0.013172922,0.01858528,0.019295043,0.019427128,0.028678355
0.077225488,0.137270607,0.127333999,0.038841636,0.016577171,0.029492069,0.021311843,0.026443334,0.062376695
0.091715671,0.132913901,0.120359312,0.018911402,0.014292149,0.019568922,0.019595317,0.0171671,0.025611645
0.076788155,0.134424387,0.158883693,0.022460362,0.012373096,0.0250539,0.020170923,0.015820442,0.03659003
0.082748011,0.134433144,0.126296472,0.025111453,0.0137104,0.024639332,0.020401032,0.018066433,0.051728298
0.085710339,0.145477517,0.136386077,0.03634647,0.015944988,0.030187441,0.022550438,0.022810111,0.072352433
0.078313748,0.133360961,0.16023168,0.027239119,0.013370889,0.02790838,0.020264562,0.019562637,0.047840236
0.063197304,0.129735058,0.140713437,0.041606289,0.014623615,0.035541054,0.020419663,0.025244542,0.108496375
0.072501864,0.128163645,0.144585402,0.040212876,0.015405126,0.033869875,0.020286124,0.026442337,0.094778251
0.079146092,0.132087351,0.122869656,0.037024123,0.017229081,0.034625137,0.021455249,0.030677715,0.118412449
0.07468341,0.126785406,0.145137209,0.032482122,0.014504237,0.02939865,0.020370203,0.026981729,0.079451682
0.064236991,0.130104693,0.12151502,0.039597551,0.014077745,0.036298207,0.020307709,0.021080915,0.148209372
0.072125511,0.134441741,0.124751334,0.040298181,0.016202044,0.033597227,0.02116797,0.028385276,0.100321294
0.08218126,0.130769326,0.153736102,0.043149446,0.018840782,0.036619759,0.021849455,0.031203713,0.108385791
0.084772058,0.130422669,0.192658204,0.032642004,0.015322694,0.033617363,0.022124501,0.024169465,0.074022457
0.102050048,0.138022955,0.278023007,0.024831343,0.017057674,0.042002862,0.022353408,0.020461467,0.04626709
0.07040097,0.132425008,0.111708467,0.032927892,0.01443451,0.027324565,0.020406689,0.025866685,0.077998301
0.074646207,0.134894533,0.145978253,0.042359775,0.017550745,0.037612217,0.021775827,0.028796125,0.131098192
0.071130418,0.131126851,0.128558347,0.035475787,0.014752722,0.031898909,0.020773598,0.025783664,0.100753215
0.067986193,0.132332202,0.113134325,0.039901018,0.015367484,0.033693027,0.020527101,0.027219532,0.120064057
0.07322498,0.132100453,0.130213693,0.036526728,0.015897118,0.031973557,0.020441246,0.027238882,0.097892879
0.078232225,0.130797461,0.127948205,0.035288164,0.016458865,0.029689624,0.020818991,0.027680359,0.070370907
0.07355973,0.134229568,0.115408924,0.040757898,0.016550939,0.033055903,0.021250632,0.028003028,0.105353793
0.073046878,0.144259869,0.130613061,0.030666181,0.013432109,0.026658465,0.021866561,0.019069748,0.059786349
0.065048852,0.129124537,0.133845686,0.038683794,0.014697396,0.035926202,0.020383788,0.023630478,0.130081031
0.076399499,0.130172715,0.113793144,0.031827911,0.016223163,0.028461521,0.020193723,0.02735848,0.084528695
0.066685379,0.12754322,0.124930876,0.03442483,0.014680179,0.034161423,0.02007877,0.025267613,0.127706044
0.063485904,0.136594054,0.139440932,0.038830812,0.013719098,0.032290134,0.021121493,0.023677153,0.09421954
0.068659061,0.129431381,0.120514389,0.036490391,0.014830272,0.03359681,0.020397885,0.026968323,0.118080228
0.071079702,0.132056156,0.127896949,0.043825812,0.016839648,0.039609816,0.022169598,0.027304081,0.161484948
0.075687291,0.129910371,0.114708372,0.035488775,0.015292124,0.034651487,0.020913346,0.023580571,0.130742425
0.074373108,0.130335035,0.135036594,0.044896288,0.016719855,0.037182439,0.021397711,0.026501155,0.138162133
0.071974801,0.134207371,0.174728569,0.042450778,0.015641703,0.037843161,0.021935541,0.024527782,0.106889264
0.082219541,0.130207056,0.113828553,0.033669951,0.016480698,0.027338951,0.020740608,0.024562304,0.068519781
0.120121162,0.133559325,0.162164663,0.01657415,0.017024382,0.02499098,0.025250863,0.013328731,0.030267694
0.094761567,0.135608814,0.154077949,0.047441699,0.018041429,0.03927899,0.023284123,0.026809045,0.118001209
0.084043298,0.134475041,0.131585609,0.041746636,0.017154046,0.034288878,0.021472677,0.02488773,0.125814241
0.072716959,0.131470133,0.157872118,0.042279928,0.015766922,0.039133052,0.021151985,0.028255656,0.133586426
0.070147094,0.131883536,0.141010688,0.040280532,0.014772686,0.036222419,0.02046195,0.022598441,0.136825005
0.066128178,0.1309692,0.107887507,0.042652418,0.015691432,0.035194829,0.020674353,0.026223306,0.125277194
0.071187968,0.127637173,0.146613006,0.046249044,0.015399019,0.03788928,0.020170323,0.023194395,0.114662278
0.074894848,0.128828184,0.129550769,0.046325714,0.016309771,0.035583614,0.020494864,0.025653956,0.095156585
